player_name,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Royce O'Neale,32625000.0,11625000.0,,,2,44250000.0,22125000.0,11625000.0,1
Jaden Ivey,10107163.0,,,,1,10107163.0,10107163.0,,0
Aaron Wiggins,27672900.0,8345797.0,8345797.0,,3,44364494.0,14788164.666666666,8345797.0,2
Sam Hauser,45000000.0,11651785.0,12455356.0,,3,69107141.0,23035713.666666668,11651785.0,2
Kon Knueppel,20532240.0,11017560.0,13937214.0,,3,45487014.0,15162338.0,11017560.0,2
Derrick Jones Jr.,20476190.0,,,,1,20476190.0,20476190.0,,0
Lonzo Ball,10000000.0,,,,1,10000000.0,10000000.0,,0
Amen Thompson,21949209.0,,,,1,21949209.0,21949209.0,,0
Caleb Martin,19595537.0,9371351.0,,,2,28966888.0,14483444.0,9371351.0,1
Stephon Castle,19576440.0,12670139.0,,,2,32246579.0,16123289.5,12670139.0,1
Pat Connaughton,9423869.0,,,,1,9423869.0,9423869.0,,0
Buddy Hield,18878048.0,10097560.0,,,2,28975608.0,14487804.0,10097560.0,1
Kyle Anderson,9219512.0,,,,1,9219512.0,9219512.0,,0
Bennedict Mathurin,9187573.0,,,,1,9187573.0,9187573.0,,0
Ace Bailey,18592920.0,9976560.0,12640302.0,,3,41209782.0,13736594.0,9976560.0,2
Naji Marshall,18428571.0,,,,1,18428571.0,18428571.0,,0
Jalen Smith,18428571.0,,,,1,18428571.0,18428571.0,,0
Ty Jerome,18001050.0,9659100.0,,,2,27660150.0,13830075.0,9659100.0,1
Ausar Thompson,19892925.0,,,,1,19892925.0,19892925.0,,0
Brook Lopez,8750000.0,,,,1,8750000.0,8750000.0,,0
Quentin Grimes,8741209.0,,,,1,8741209.0,8741209.0,,0
Ron Holland,17726880.0,11491183.0,,,2,29218063.0,14609031.5,11491183.0,1
Sam Merrill,38000000.0,9839285.0,10517856.0,,3,58357141.0,19452380.333333332,9839285.0,2
Jaylin Williams,16225352.0,7774648.0,,,2,24000000.0,12000000.0,7774648.0,1
Shaedon Sharpe,8399983.0,,,,1,8399983.0,8399983.0,,0
Kelly Oubre Jr.,8382150.0,,,,1,8382150.0,8382150.0,,0
Goga Bitadze,15942029.0,,,,1,15942029.0,15942029.0,,0
Simone Fontecchio,8307692.0,,,,1,8307692.0,8307692.0,,0
Tre Johnson,16887240.0,9061680.0,11490211.0,,3,37439131.0,12479710.333333334,9061680.0,2
Georges Niang,8200000.0,,,,1,8200000.0,8200000.0,,0
Zeke Nnaji,15644445.0,7466667.0,,,2,23111112.0,11555556.0,7466667.0,1
Vasilije Micić,8109150.0,,,,1,8109150.0,8109150.0,,0
Tre Mann,16000000.0,8000000.0,,,2,24000000.0,12000000.0,8000000.0,1
Tre Jones,16000000.0,8000000.0,,,2,24000000.0,12000000.0,8000000.0,1
Kevon Looney,8000000.0,,,,1,8000000.0,8000000.0,,0
Jock Landale,8000000.0,,,,1,8000000.0,8000000.0,,0
Anthony Black,18076596.0,,,,1,18076596.0,18076596.0,,0
Tidjane Salaün,16101120.0,10445633.0,,,2,26546753.0,13273376.5,10445633.0,1
Max Christie,16000000.0,8857143.0,,,2,24857143.0,12428571.5,8857143.0,1
Dyson Daniels,7707709.0,,,,1,7707709.0,7707709.0,,0
Isaiah Jackson,21000000.0,6400000.0,,,2,27400000.0,13700000.0,6400000.0,1
Jeremiah Fears,15416280.0,8271960.0,10505389.0,,3,34193629.0,11397876.333333334,8271960.0,2
Ayo Dosunmu,7518518.0,,,,1,7518518.0,7518518.0,,0
Bilal Coulibaly,16515612.0,,,,1,16515612.0,16515612.0,,0
