GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-203471-203501-,D. Schröder - T. Hardaway Jr.,1610612765,DET,23,13,10,0.565,12.6,10.8,23.7,0.456,2.9,8.5,0.337,5.4,7.1,0.756,2.8,8.3,11.2,6.6,2.8,1.7,1.4,1.3,5.2,5.8,29.9,1.4,1699,1349,3223,1920,1037,1025,1000,2731,1656,1459,3105,706,637,3123,1296,1141,1131,1146,3245,1749,933,4231,4412,700,992,1176,867300
Lineups,-1630549-1630570-,D. Sharpe - T. Watford,1610612751,BKN,25,9,16,0.36,12.6,9.8,23.1,0.426,2.9,9.5,0.304,3.8,5.0,0.774,3.9,8.1,12.0,6.0,3.9,2.4,1.6,1.8,4.9,4.3,26.4,0.6,1558,1851,4143,3452,1038,1258,1053,3930,1647,1162,3991,1533,1510,2638,562,1217,942,1368,4288,811,703,4778,4253,1419,1316,1711,942280
Lineups,-1630193-1630534-,I. Quickley - O. Agbaji,1610612761,TOR,20,5,15,0.25,12.6,10.4,22.4,0.465,2.7,8.3,0.325,4.9,6.2,0.79,2.1,9.2,11.3,7.3,3.8,2.0,1.0,1.3,4.9,4.6,28.4,-0.3,1941,2651,4016,4050,1029,1110,1134,2299,1835,1544,3548,882,906,2140,2186,878,1101,900,4170,1414,2075,4139,4240,1217,1120,2613,758235
Lineups,-1628381-1642271-,J. Collins - K. Filipowski,1610612762,UTA,22,6,16,0.273,12.6,10.4,21.0,0.497,3.5,9.0,0.394,4.5,5.9,0.775,2.7,8.1,10.8,6.8,5.1,1.9,0.9,1.9,5.6,5.3,28.9,-1.1,1776,2416,4143,3975,1036,1107,1319,1017,1064,1283,1126,1051,1064,2613,1421,1214,1240,1084,4863,1454,2312,4881,4549,850,1083,3393,829805
Lineups,-1626196-1628389-,J. Richardson - B. Adebayo,1610612748,MIA,8,4,4,0.5,12.6,9.8,22.0,0.443,4.1,10.9,0.379,3.8,4.6,0.811,1.5,7.0,8.5,5.8,3.8,2.8,0.4,1.4,5.0,4.8,27.4,-2.0,3287,2894,1779,2195,1035,1279,1168,3299,733,834,1531,1587,1718,1496,3165,1600,1996,1512,4170,604,4070,4268,4280,1140,1217,3976,302065
Lineups,-202691-203957-,K. Thompson - D. Exum,1610612742,DAL,16,5,11,0.313,12.6,10.9,23.4,0.465,3.3,9.1,0.356,3.3,4.3,0.779,2.5,7.4,9.9,6.9,3.6,2.2,1.5,1.3,4.1,3.6,28.3,-4.3,2322,2651,3419,3795,1027,1011,1029,2303,1261,1261,2443,1943,1958,2480,1592,1431,1480,1028,4047,1026,760,4160,3693,1954,1127,4912,606810
Lineups,-1628970-1628998-,M. Bridges - C. Martin,1610612766,CHA,25,8,17,0.32,12.6,11.0,24.1,0.457,3.4,10.6,0.322,4.8,5.9,0.804,3.1,9.3,12.4,6.7,3.9,2.0,1.5,1.6,5.8,5.1,30.2,-0.6,1558,2019,4262,3772,1040,979,966,2689,1165,896,3629,955,1047,1696,1003,859,869,1102,4264,1209,828,4552,4639,948,971,2861,941585
Lineups,-1630695-1641718-,M. Potter - K. George,1610612762,UTA,28,6,22,0.214,12.6,10.3,22.9,0.452,3.8,11.1,0.342,4.5,5.8,0.779,3.1,8.9,12.0,6.1,4.7,1.4,1.0,1.5,4.5,4.9,29.0,-3.4,1343,2416,4623,4274,1030,1126,1080,2931,913,789,2947,1057,1076,2488,986,995,942,1315,4712,2343,1639,4524,3995,1058,1078,4691,1060900
Lineups,-1631115-1642347-,O. Robinson - J. Shead,1610612761,TOR,31,16,15,0.516,12.6,9.9,24.3,0.41,3.2,9.5,0.339,4.3,5.5,0.767,3.4,8.9,12.3,6.8,3.4,2.2,1.1,1.6,5.7,4.5,27.4,-2.1,1159,1063,4016,2165,1039,1240,955,4317,1289,1154,3038,1220,1193,2819,819,993,902,1069,3912,1057,1550,4573,4595,1301,1221,4092,1168100
Lineups,-1629656-1641720-,Q. Grimes - J. Hood-Schifino,1610612755,PHI,9,1,8,0.111,12.6,9.7,22.9,0.422,3.8,11.3,0.333,4.9,6.1,0.8,2.6,8.1,10.7,5.3,4.6,2.0,1.0,1.3,4.7,5.0,28.0,-5.8,3148,4024,2828,4681,1032,1295,1076,4059,916,748,3159,886,950,1760,1542,1201,1267,1712,4661,1209,1639,4172,4120,968,1153,5122,340625
