nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1627824,Guerschon Yabusele,2026,NYK/CHI,C,15.029,-1.214,-0.762,-0.452,0.786,Stretch Big,Mobile Big
1627826,Ivica Zubac,2026,LAC/IND,C,30.136,-0.136,-0.274,0.138,2.107,Post Scorer,Anchor Big
1627827,Dorian Finney-Smith,2026,HOU,PF,16.761,-3.248,-2.775,-0.472,-0.292,Stationary Shooter,Wing Stopper
1627884,Derrick Jones Jr.,2026,LAC,SF,26.99,0.007,-0.781,0.788,2.086,Stationary Shooter,Point of Attack
1627936,Alex Caruso,2026,OKC,SG,18.216,2.297,0.166,2.132,3.035,Stationary Shooter,Wing Stopper
1628365,Markelle Fultz,2026,TOR,PG,7.153,-1.598,-0.767,-0.831,0.019,Low Minute,Point of Attack
1628366,Lonzo Ball,2026,CLE,PG,20.789,-0.418,-0.976,0.558,0.931,Movement Shooter,Chaser
1628368,De'Aaron Fox,2026,SAS,PG,30.986,1.7,1.478,0.222,5.812,Shot Creator,Point of Attack
1628369,Jayson Tatum,2026,BOS,PF,32.612,3.887,3.047,0.841,2.055,Shot Creator,Wing Stopper
1628370,Malik Monk,2026,SAC,SG,21.993,-1.96,-0.028,-1.932,0.432,Secondary Ball Handler,Low Activity
1628371,Jonathan Isaac,2026,ORL,PF,10.013,0.169,-1.414,1.583,0.858,Stretch Big,Helper
1628374,Lauri Markkanen,2026,UTA,PF,34.346,2.234,2.327,-0.094,4.234,Off Screen Shooter,Wing Stopper
1628378,Donovan Mitchell,2026,CLE,SG,33.456,3.426,3.7,-0.274,8.578,Shot Creator,Helper
1628379,Luke Kennard,2026,ATL/LAL,SG,21.541,-2.908,-1.122,-1.786,-0.446,Off Screen Shooter,Chaser
1628380,Zach Collins,2026,CHI,C,18.373,-0.333,-0.306,-0.027,0.245,Stretch Big,Mobile Big
1628381,John Collins,2026,LAC,PF,27.121,-0.078,-0.455,0.376,2.793,Stationary Shooter,Helper
1628384,Og Anunoby,2026,NYK,PF,33.19,1.821,0.096,1.724,5.96,Stationary Shooter,Wing Stopper
1628386,Jarrett Allen,2026,CLE,C,27.124,2.134,0.939,1.195,4.365,Roll + Cut Big,Mobile Big
1628389,Bam Adebayo,2026,MIA,C,32.392,3.486,1.508,1.978,8.745,Shot Creator,Helper
1628392,Isaiah Hartenstein,2026,OKC,C,24.197,3.554,0.957,2.597,4.253,Roll + Cut Big,Mobile Big
1628396,Tony Bradley,2026,IND/ATL,C,10.991,-1.917,-1.366,-0.551,0.155,Roll + Cut Big,Mobile Big
